FID;Location;Year;Moisture;Lipid;d15N;d13C;PFBA;PFPeA;PFHxA;PFHpA;PFOA;PFNA;PFDA;PFUdA;PFDoA;PFTrDA;PFTeDA;PFHxDA;PFODA;PFBS;PFHxS;PFOS;PFDS
W240937-16;Ile Bonaventure;1969;83.7;4.1;;;<0.025;<0.04;<0.027;<0.012;<0.071;<0.064;0.37;0.935;0.409;0.771;0.229;<0.024;<0.027;<0.009;<0.045;18.6;0.109
W240937-17;Ile Bonaventure;1969;84.2;3.7;;;<0.025;<0.039;<0.026;<0.012;<0.071;0.155;0.361;0.782;0.338;0.579;0.189;<0.024;<0.026;<0.009;<0.044;25.00;0.089
W240937-18;Ile Bonaventure;1969;83.3;4.2;15.56;-20.35;<0.025;<0.039;<0.026;<0.012;<0.07;0.096;0.235;0.658;0.28;0.506;0.138;<0.024;<0.026;<0.009;<0.044;18.5;0.069
W240937-19;Ile Bonaventure;1969;82.95;3.6;14.88;-20.76;<0.025;<0.039;<0.026;<0.012;<0.069;0.083;0.354;0.868;0.364;0.57;0.148;<0.024;<0.026;<0.009;0.063;47.3;0.073
W240937-20;Ile Bonaventure;1969;83.95;3.1;14.94;-20.06;<0.025;<0.038;<0.026;<0.012;<0.069;0.116;0.347;0.605;0.297;0.491;0.154;<0.024;<0.026;<0.009;<0.043;18.1;0.059
W240937-21;Ile Bonaventure;1973;83.75;3.6;14.41;-20.75;<0.024;<0.038;<0.025;<0.012;0.164;<0.061;0.182;0.48;0.211;0.442;0.135;<0.023;<0.025;<0.009;0.11;13.7;<0.043
W240937-22;Ile Bonaventure;1973;84.5;3.6;14.08;-20.8;<0.025;<0.038;<0.026;<0.012;<0.069;<0.062;0.226;0.732;0.271;0.594;0.195;<0.024;<0.026;<0.009;<0.043;7.17;<0.044
W240937-23;Ile Bonaventure;1973;84.2;5.0;;;<0.025;<0.038;<0.026;<0.012;<0.069;<0.062;0.228;0.673;0.302;0.61;0.207;<0.024;<0.026;<0.009;<0.043;16.5;<0.044
W240937-24;Ile Bonaventure;1973;84.1;4.0;14.16;-21.03;<0.025;<0.038;<0.026;<0.012;0.108;0.146;0.458;0.849;0.434;0.757;0.249;<0.024;<0.026;<0.009;0.043;23.5;0.046
W240937-25;Ile Bonaventure;1973;84.75;3.4;;;<0.025;<0.038;<0.026;<0.012;<0.069;0.082;0.406;0.896;0.311;0.564;0.177;<0.024;<0.026;<0.009;<0.043;13.5;<0.044
W240937-26;Ile Bonaventure;1973;84.55;3.8;;;<0.026;<0.04;<0.027;<0.012;0.122;0.126;0.29;0.625;0.281;0.566;0.184;<0.025;<0.027;<0.009;0.046;13.8;<0.046
W240937-27;Ile Bonaventure;1974;83.05;4.7;;;<0.026;<0.04;<0.027;<0.012;<0.072;<0.065;0.332;1.08;0.456;0.899;0.276;<0.025;<0.027;<0.009;0.079;15.00;<0.046
W240937-28;Ile Bonaventure;1974;85.2;3.3;;;<0.024;<0.038;<0.025;<0.012;0.16;0.131;0.357;0.808;0.343;0.562;0.192;<0.023;<0.025;<0.009;0.113;16.6;<0.044
W240937-29;Ile Bonaventure;1974;84.1;4.0;;;<0.026;<0.04;<0.027;<0.012;<0.072;0.108;5.02;<0.011;<0.01;<0.09;<0.09;<0.025;<0.027;<0.009;<0.045;14.4;<0.009
W240937-30;Ile Bonaventure;1974;83.35;5.1;;;<0.025;<0.039;<0.026;<0.012;0.179;0.171;0.46;<0.011;<0.01;<0.09;<0.09;<0.024;<0.026;<0.009;0.2;28.9;<0.009
W240937-31;Ile Bonaventure;1974;82.7;4.1;;;<0.026;<0.04;<0.027;<0.012;<0.072;0.096;0.334;0.925;0.368;0.767;0.245;<0.025;<0.027;<0.009;<0.045;10.8;<0.046
W240937-32;Ile Bonaventure;1974;84.5;3.7;;;<0.024;<0.038;<0.025;<0.012;0.135;0.124;0.301;0.824;0.352;0.67;0.208;<0.023;<0.025;<0.009;0.09;14.6;<0.044
W240937-33;Ile Bonaventure;1976;84.2;4.4;15.14;-20.99;<0.025;<0.039;<0.026;<0.012;0.309;0.278;<0.012;<0.011;<0.01;<0.09;<0.09;<0.024;<0.026;<0.009;0.139;36.9;<0.009
W240937-34;Ile Bonaventure;1976;84.0;4.4;14.27;-21.2;<0.024;<0.038;<0.025;<0.012;0.141;0.233;0.536;<0.011;<0.01;<0.09;<0.09;<0.023;<0.025;<0.009;0.087;33.7;<0.009
W240937-35;Ile Bonaventure;1976;83.75;3.8;14.7;-20.84;<0.025;<0.039;<0.026;<0.012;0.237;0.323;0.761;1.66;0.605;0.919;0.27;<0.024;<0.026;<0.009;0.171;38.8;0.693
W240937-36;Ile Bonaventure;1976;83.85;5.0;15.03;-20.49;<0.025;<0.039;<0.026;<0.012;0.324;0.296;0.708;1.38;0.633;0.866;0.3;<0.024;<0.026;<0.009;0.135;49.4;1.82
W240937-37;Ile Bonaventure;1976;84.1;4.0;15.04;-20.73;<0.024;<0.038;<0.025;<0.012;0.211;0.232;0.499;1.03;0.422;0.621;0.201;<0.023;<0.025;<0.009;0.179;31.5;1.04
W240937-38;Ile Bonaventure;1976;84.2;4.1;14.8;-20.23;<0.026;<0.04;<0.027;<0.012;0.206;0.321;0.658;1.25;0.522;0.824;0.274;<0.025;<0.027;<0.009;0.141;40.4;0.899
W240937-39;Ile Bonaventure;1984;83.6;3.2;14.79;-20.329;<0.025;<0.039;<0.026;<0.012;0.087;0.867;1.32;3.79;1.49;3.3;0.98;<0.12;<0.026;<0.009;0.143;37.8;2.06
W240937-40;Ile Bonaventure;1984;83.4;4.2;14.96;-20.359;<0.025;<0.039;<0.026;<0.012;0.405;1.88;2.76;7.35;2.75;4.88;1.4;<0.122;<0.026;<0.009;0.278;72.2;3.82
W240937-41;Ile Bonaventure;1984;83.9;3.9;15.06;-19.909;<0.025;<0.04;<0.026;<0.012;0.158;1.09;1.51;4.48;1.75;3.54;0.875;<0.024;<0.026;<0.009;0.188;51.2;1.77
W240937-42;Ile Bonaventure;1984;84.0;3.9;;;<0.025;<0.039;<0.026;<0.012;0.229;0.755;1.2;4.17;1.53;3.24;0.888;<0.024;<0.026;<0.009;0.094;33.1;2.1
W240937-43;Ile Bonaventure;1984;83.4;3.8;;;<0.024;<0.037;<0.025;<0.011;0.207;0.868;1.25;4.05;1.65;3.83;1.09;<0.116;<0.025;<0.009;0.105;33.8;2.24
W240937-44;Ile Bonaventure;1984;83.5;4.6;15.71;-20.049;<0.025;<0.039;<0.026;<0.012;0.253;1.05;1.65;4.02;1.69;3.15;0.786;<0.024;<0.026;<0.009;0.141;55.6;1.68
W240937-45;Ile Bonaventure;1989;84.32;4.36;15.06;-20.258;<0.025;<0.039;<0.026;<0.012;0.235;4.9;2.27;6.51;1.96;4.78;1.36;<0.122;<0.026;<0.009;0.169;44.1;3.42
W240937-46;Ile Bonaventure;1989;83.04;04.05;15.49;-19.988;<0.025;<0.039;<0.026;<0.012;0.261;6.92;2.65;7.43;1.91;4.44;1.08;<0.121;<0.026;<0.009;0.238;43.3;4.12
W240937-47;Ile Bonaventure;1989;82.35;4.6;14.92;-20.198;<0.025;<0.038;<0.026;<0.012;0.36;8.78;3.86;9.62;2.27;5.05;1.17;<0.119;<0.026;<0.009;0.306;111.0;3.94
W240937-48;Ile Bonaventure;1989;81.17;3.4;14.72;-19.968;<0.024;<0.037;<0.025;<0.011;0.379;2.67;2.07;5.45;1.55;3.67;0.923;<0.116;<0.025;<0.009;0.259;66.8;2.51
W240937-49;Ile Bonaventure;1989;82.7;5.44;14.58;-20.438;<0.025;<0.039;<0.026;<0.012;0.303;7.2;4.5;12.7;4.58;8.59;2.12;<0.122;<0.026;<0.009;0.282;98.2;5.52
W240937-50;Ile Bonaventure;1989;82.95;4.28;14.93;-20.138;<0.026;<0.04;<0.129;<0.012;0.253;5.78;2.77;9.06;2.47;5.64;1.43;<0.124;<0.027;<0.009;0.129;40.5;5.92
W240937-10;Ile Bonaventure;1994;82.2;4.7;15.088;-20.27;<0.025;<0.038;<0.026;<0.012;0.663;3.91;2.33;6.62;2.15;5.55;1.69;<0.119;<0.026;<0.009;0.446;70.9;3.81
W240937-11;Ile Bonaventure;1994;83.6;5.1;14.876;-20.446;<0.025;<0.039;<0.026;<0.012;0.864;4.22;2.62;7.78;2.56;7.04;1.42;<0.12;<0.026;<0.009;0.661;82.4;4.91
W240937-12;Ile Bonaventure;1994;82.1;4.1;15.032;-20.018;<0.025;<0.039;<0.026;<0.012;0.469;4.49;2.55;6.68;1.99;5.1;1.4;<0.12;<0.026;<0.009;0.34;74.9;3.47
W240937-13;Ile Bonaventure;1999;83.48;05.05;14.252;-20.268;<0.024;<0.038;<0.025;<0.012;0.656;6.83;3.22;12.3;3.3;8.59;2.34;0.127;<0.025;<0.009;0.65;97.0;6.1
W240937-14;Ile Bonaventure;1999;83.26;4.97;14.728;-20.27;<0.026;<0.04;<0.027;<0.012;0.766;6.71;4.18;13.1;3.53;8.26;2.74;0.129;<0.027;<0.009;0.689;108;6.48
W240937-15;Ile Bonaventure;1999;84.34;4.9;14.444;-20.464;<0.026;<0.04;<0.027;<0.012;1.12;8.15;3.49;11.6;2.93;7.61;2.13;<0.125;<0.027;<0.009;0.718;94.8;4.56
W240937-01;Ile Bonaventure;2004;82.44;5.24;14.588;-20.899;<0.025;<0.039;<0.026;<0.012;0.622;9.15;4.59;16.00;3.99;12.2;2.77;<0.12;<0.026;<0.009;0.373;56.6;2.71
W240937-02;Ile Bonaventure;2004;82.45;4.98;14.286;-20.821;<0.025;<0.039;<0.026;<0.012;0.887;7.42;3.72;16.4;4.12;14.2;2.89;<0.121;<0.026;<0.009;0.475;36.0;2.59
W240937-03;Ile Bonaventure;2004;81.9;5.54;14.33;-20.911;<0.025;<0.039;<0.026;<0.012;0.841;11.7;5.28;16.8;4.39;13.2;2.78;<0.12;<0.026;<0.009;0.578;71.9;3.02
W240937-04;Ile Bonaventure;2009;83.73984;4.2423;14.684;-20.707;<0.026;<0.04;<0.027;<0.012;0.469;8.16;4.9;16.4;4.17;10.5;2.27;<0.124;<0.027;<0.009;0.446;52.9;1.53
W240937-05;Ile Bonaventure;2009;83.6066;4.17705;14.806;-20.707;<0.025;<0.039;<0.026;<0.012;0.394;14.00;5.82;16.6;3.89;9.04;2.04;<0.12;<0.026;<0.009;0.35;50.4;1.55
W240937-06;Ile Bonaventure;2009;83.6338;4.83953;14.746;-21.003;<0.025;<0.039;<0.026;<0.012;0.593;14.00;6.78;21.2;4.68;10.7;2.12;<0.12;<0.026;<0.009;0.428;68.2;1.51
W240937-07;Ile Bonaventure;2012;86.27;4.9;15.044;-20.732;<0.025;<0.038;<0.026;<0.012;0.338;4.58;3.92;10.2;2.82;6.54;1.63;<0.119;<0.026;<0.009;0.273;51.2;1.22
W240937-08;Ile Bonaventure;2012;83.42;5.3;15.046;-20.744;<0.024;<0.038;<0.025;<0.012;0.444;4.77;4.5;11.1;3.06;6.85;1.8;<0.116;<0.025;<0.009;0.325;53.1;1.28
W240937-09;Ile Bonaventure;2012;84.54;5.0;14.902;-20.757;<0.024;<0.038;<0.025;<0.012;0.47;5.62;4.93;10.5;2.93;5.66;1.58;<0.118;<0.025;<0.009;0.37;57.5;1.24
K14-38520-00-06;Ile Bonaventure;2014;83.15;4.1;15.078;-20.069;<0.025;<0.039;<0.026;<0.012;0.324;4.82;5.74;10.10;2.76;5.29;1.46;0.151;<0.026;<0.009;0.228;55.6;1.63
K14-38521-00-06;Ile Bonaventure;2014;82.86;4.8;14.98;-20.477;<0.025;<0.040;<0.026;<0.012;0.271;3.69;4.72;11.10;2.95;5.86;1.35;0.096;<0.026;<0.009;0.266;61.4;1.65
K14-38522-00-06;Ile Bonaventure;2014;82.89;4.6;14.996;-20.359;<0.025;0.040;<0.026;0.119;0.405;5.44;5.62;11.4;3.22;5.49;1.48;0.13;<0.026;<0.009;0.264;70.8;1.72
W240937-51;Ile Bonaventure;2019;83.4;3.85;15.54;-20.329;<0.025;<0.039;<0.026;<0.06;0.465;3.32;4.47;7.38;2.4;3.27;1.24;<0.122;<0.026;<0.009;0.291;37.6;0.956
W240937-52;Ile Bonaventure;2019;84.3;3.89;15.516;-20.055;<0.025;<0.039;<0.026;<0.012;0.284;2.85;3.63;6.27;2.02;3.02;1.00;<0.12;<0.026;<0.009;0.227;34.2;0.856
W240937-53;Ile Bonaventure;2019;84.4;3.97;15.542;-20.419;<0.025;<0.039;<0.026;<0.061;0.328;3.49;4.5;8.29;2.69;4.01;1.31;<0.122;<0.026;<0.009;0.215;41.5;1.17
Pool 1;Ile Bonaventure;2024;84.9;3.484;14.98;-21.58;<0.024;<0.038;<0.025;<0.059;0.42;2.92;3.1;5.63;1.54;2.8;0.94;<0.119;<0.025;<0.009;0.166;24.72;0.81
Pool 2;Ile Bonaventure;2024;83.16;4.454;15.22;-21.38;<0.025;<0.038;<0.026;<0.012;0.592;4.512;4.12;6.7;1.99;3.52;1.28;<0.119;<0.026;<0.009;0.24;27.7;0.87
Pool 3;Ile Bonaventure;2024;84.84;4.024;15.32;-21.56;<0.025;<0.039;<0.026;<0.06;0.48;3.62;3.91;6.83;1.76;3.04;0.88;<0.12;<0.026;<0.009;0.17;27.85;0.9
